,Year,Postal,state,county,registry,race,hispanic,sex,age,population
0,1969,MA,25,1,63,1,9,1,0,740
1,1969,MA,25,1,63,1,9,1,1,2827
2,1969,MA,25,1,63,1,9,1,2,4399
3,1969,MA,25,1,63,1,9,1,3,4623
4,1969,MA,25,1,63,1,9,1,4,3655
5,1969,MA,25,1,63,1,9,1,5,3031
6,1969,MA,25,1,63,1,9,1,6,2581
7,1969,MA,25,1,63,1,9,1,7,2095
8,1969,MA,25,1,63,1,9,1,8,2314
9,1969,MA,25,1,63,1,9,1,9,2666
10,1969,MA,25,1,63,1,9,1,10,2421
11,1969,MA,25,1,63,1,9,1,11,2362
12,1969,MA,25,1,63,1,9,1,12,2160
13,1969,MA,25,1,63,1,9,1,13,2257
14,1969,MA,25,1,63,1,9,1,14,2486
15,1969,MA,25,1,63,1,9,1,15,1902
16,1969,MA,25,1,63,1,9,1,16,1107
17,1969,MA,25,1,63,1,9,1,17,524
18,1969,MA,25,1,63,1,9,1,18,314
19,1969,MA,25,1,63,1,9,2,0,615
20,1969,MA,25,1,63,1,9,2,1,2674
21,1969,MA,25,1,63,1,9,2,2,4251
22,1969,MA,25,1,63,1,9,2,3,4358
23,1969,MA,25,1,63,1,9,2,4,3463
24,1969,MA,25,1,63,1,9,2,5,2614
25,1969,MA,25,1,63,1,9,2,6,2590
26,1969,MA,25,1,63,1,9,2,7,2211
27,1969,MA,25,1,63,1,9,2,8,2452
28,1969,MA,25,1,63,1,9,2,9,2701
29,1969,MA,25,1,63,1,9,2,10,2703
30,1969,MA,25,1,63,1,9,2,11,2704
31,1969,MA,25,1,63,1,9,2,12,2646
32,1969,MA,25,1,63,1,9,2,13,3312
33,1969,MA,25,1,63,1,9,2,14,2994
34,1969,MA,25,1,63,1,9,2,15,2423
35,1969,MA,25,1,63,1,9,2,16,1556
36,1969,MA,25,1,63,1,9,2,17,816
37,1969,MA,25,1,63,1,9,2,18,608
38,1969,MA,25,1,63,2,9,1,0,18
39,1969,MA,25,1,63,2,9,1,1,97
40,1969,MA,25,1,63,2,9,1,2,154
41,1969,MA,25,1,63,2,9,1,3,134
42,1969,MA,25,1,63,2,9,1,4,81
43,1969,MA,25,1,63,2,9,1,5,123
44,1969,MA,25,1,63,2,9,1,6,102
45,1969,MA,25,1,63,2,9,1,7,84
46,1969,MA,25,1,63,2,9,1,8,74
47,1969,MA,25,1,63,2,9,1,9,63
48,1969,MA,25,1,63,2,9,1,10,34
49,1969,MA,25,1,63,2,9,1,11,44
50,1969,MA,25,1,63,2,9,1,12,23
51,1969,MA,25,1,63,2,9,1,13,35
52,1969,MA,25,1,63,2,9,1,14,25
53,1969,MA,25,1,63,2,9,1,15,26
54,1969,MA,25,1,63,2,9,1,16,11
55,1969,MA,25,1,63,2,9,1,17,13
56,1969,MA,25,1,63,2,9,1,18,3
57,1969,MA,25,1,63,2,9,2,0,24
58,1969,MA,25,1,63,2,9,2,1,63
59,1969,MA,25,1,63,2,9,2,2,143
60,1969,MA,25,1,63,2,9,2,3,131
61,1969,MA,25,1,63,2,9,2,4,83
62,1969,MA,25,1,63,2,9,2,5,66
63,1969,MA,25,1,63,2,9,2,6,75
64,1969,MA,25,1,63,2,9,2,7,71
65,1969,MA,25,1,63,2,9,2,8,68
66,1969,MA,25,1,63,2,9,2,9,49
67,1969,MA,25,1,63,2,9,2,10,35
68,1969,MA,25,1,63,2,9,2,11,46
69,1969,MA,25,1,63,2,9,2,12,33
70,1969,MA,25,1,63,2,9,2,13,37
71,1969,MA,25,1,63,2,9,2,14,21
72,1969,MA,25,1,63,2,9,2,15,30
73,1969,MA,25,1,63,2,9,2,16,10
74,1969,MA,25,1,63,2,9,2,17,4
75,1969,MA,25,1,63,2,9,2,18,6
76,1969,MA,25,1,63,3,9,1,0,4
77,1969,MA,25,1,63,3,9,1,1,29
78,1969,MA,25,1,63,3,9,1,2,45
79,1969,MA,25,1,63,3,9,1,3,34
80,1969,MA,25,1,63,3,9,1,4,39
81,1969,MA,25,1,63,3,9,1,5,28
82,1969,MA,25,1,63,3,9,1,6,24
83,1969,MA,25,1,63,3,9,1,7,27
84,1969,MA,25,1,63,3,9,1,8,32
85,1969,MA,25,1,63,3,9,1,9,19
86,1969,MA,25,1,63,3,9,1,10,19
87,1969,MA,25,1,63,3,9,1,11,13
88,1969,MA,25,1,63,3,9,1,12,13
89,1969,MA,25,1,63,3,9,1,13,13
90,1969,MA,25,1,63,3,9,1,14,5
91,1969,MA,25,1,63,3,9,1,15,7
92,1969,MA,25,1,63,3,9,1,16,9
93,1969,MA,25,1,63,3,9,1,17,3
94,1969,MA,25,1,63,3,9,1,18,4
95,1969,MA,25,1,63,3,9,2,0,12
96,1969,MA,25,1,63,3,9,2,1,36
97,1969,MA,25,1,63,3,9,2,2,53
98,1969,MA,25,1,63,3,9,2,3,59
99,1969,MA,25,1,63,3,9,2,4,38
100,1969,MA,25,1,63,3,9,2,5,30
101,1969,MA,25,1,63,3,9,2,6,30
102,1969,MA,25,1,63,3,9,2,7,28
103,1969,MA,25,1,63,3,9,2,8,38
104,1969,MA,25,1,63,3,9,2,9,27
105,1969,MA,25,1,63,3,9,2,10,15
106,1969,MA,25,1,63,3,9,2,11,14
107,1969,MA,25,1,63,3,9,2,12,11
108,1969,MA,25,1,63,3,9,2,13,16
109,1969,MA,25,1,63,3,9,2,14,5
110,1969,MA,25,1,63,3,9,2,15,9
111,1969,MA,25,1,63,3,9,2,16,5
112,1969,MA,25,1,63,3,9,2,18,2
113,1969,MA,25,3,63,1,9,1,0,1155
114,1969,MA,25,3,63,1,9,1,1,4833
115,1969,MA,25,3,63,1,9,1,2,7446
116,1969,MA,25,3,63,1,9,1,3,7482
117,1969,MA,25,3,63,1,9,1,4,6794
118,1969,MA,25,3,63,1,9,1,5,4635
119,1969,MA,25,3,63,1,9,1,6,3974
120,1969,MA,25,3,63,1,9,1,7,3460
121,1969,MA,25,3,63,1,9,1,8,3713
122,1969,MA,25,3,63,1,9,1,9,4148
123,1969,MA,25,3,63,1,9,1,10,4522
124,1969,MA,25,3,63,1,9,1,11,4264
125,1969,MA,25,3,63,1,9,1,12,3877
126,1969,MA,25,3,63,1,9,1,13,3171
127,1969,MA,25,3,63,1,9,1,14,2458
128,1969,MA,25,3,63,1,9,1,15,1971
129,1969,MA,25,3,63,1,9,1,16,1406
130,1969,MA,25,3,63,1,9,1,17,764
131,1969,MA,25,3,63,1,9,1,18,425
132,1969,MA,25,3,63,1,9,2,0,1141
133,1969,MA,25,3,63,1,9,2,1,4510
134,1969,MA,25,3,63,1,9,2,2,7345
135,1969,MA,25,3,63,1,9,2,3,7335
136,1969,MA,25,3,63,1,9,2,4,6172
137,1969,MA,25,3,63,1,9,2,5,4957
138,1969,MA,25,3,63,1,9,2,6,4179
139,1969,MA,25,3,63,1,9,2,7,3542
140,1969,MA,25,3,63,1,9,2,8,3883
141,1969,MA,25,3,63,1,9,2,9,4524
142,1969,MA,25,3,63,1,9,2,10,5019
