,total,black,total,hispanic,median income,B25003_002E,B25003_003E,county,hs,somecollege,bach
"Block Group 2, Census Tract 1007, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:100700> block group:2",1236,58,1236,0,40469,161,400,Suffolk County,625,106,249
"Block Group 2, Census Tract 1011.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101102> block group:2",1595,1452,1595,232,43929,110,412,Suffolk County,537,350,110
"Block Group 3, Census Tract 1011.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101102> block group:3",1390,1200,1390,175,64125,54,330,Suffolk County,351,390,65
"Block Group 1, Census Tract 1011.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:101102> block group:1",823,789,823,21,42083,92,216,Suffolk County,332,161,56
"Block Group 2, Census Tract 1302, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130200> block group:2",1228,27,1228,16,99737,191,271,Suffolk County,271,179,518
"Block Group 1, Census Tract 1302, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130200> block group:1",764,44,764,17,113235,164,106,Suffolk County,170,100,354
"Block Group 3, Census Tract 1302, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:130200> block group:3",1584,50,1584,86,109107,402,171,Suffolk County,119,108,916
"Block Group 2, Census Tract 402, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:040200> block group:2",1111,0,1111,3,142679,297,166,Suffolk County,150,58,648
"Block Group 1, Census Tract 502, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050200> block group:1",1945,21,1945,1269,61410,246,436,Suffolk County,715,121,384
"Block Group 4, Census Tract 502, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050200> block group:4",1342,15,1342,1063,60378,45,318,Suffolk County,674,89,92
"Block Group 2, Census Tract 502, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050200> block group:2",1236,65,1236,813,47155,87,389,Suffolk County,554,140,200
"Block Group 2, Census Tract 503, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050300> block group:2",1819,277,1819,795,13768,22,862,Suffolk County,734,335,128
"Block Group 2, Census Tract 506, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:050600> block group:2",1348,158,1348,915,83224,88,359,Suffolk County,616,59,291
"Block Group 1, Census Tract 703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070300> block group:1",1081,15,1081,61,121667,295,397,Suffolk County,106,78,727
"Block Group 3, Census Tract 703, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070300> block group:3",1099,0,1099,141,74044,281,428,Suffolk County,172,185,643
"Block Group 4, Census Tract 705, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070500> block group:4",1339,201,1339,355,-666666666,165,373,Suffolk County,238,114,535
"Block Group 2, Census Tract 705, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070500> block group:2",576,55,576,179,16250,28,343,Suffolk County,352,77,41
"Block Group 3, Census Tract 705, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070500> block group:3",1931,87,1931,476,120000,501,513,Suffolk County,436,168,939
"Block Group 3, Census Tract 708, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070800> block group:3",910,66,910,32,154613,286,245,Suffolk County,9,154,616
"Block Group 1, Census Tract 708, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070800> block group:1",1650,504,1650,212,66939,307,649,Suffolk County,485,144,888
"Block Group 1, Census Tract 709, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070900> block group:1",1826,362,1826,360,83676,365,649,Suffolk County,296,172,848
"Block Group 2, Census Tract 709, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:070900> block group:2",983,525,983,223,33262,108,415,Suffolk County,399,87,260
"Block Group 1, Census Tract 924, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092400> block group:1",939,798,939,141,53262,115,102,Suffolk County,338,177,42
"Block Group 4, Census Tract 924, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:092400> block group:4",1463,927,1463,818,20246,12,511,Suffolk County,363,241,90
"Block Group 1, Census Tract 301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:030100> block group:1",1364,0,1364,164,85750,169,651,Suffolk County,178,27,979
"Block Group 2, Census Tract 301, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:030100> block group:2",970,0,970,33,132578,157,378,Suffolk County,42,61,678
"Block Group 1, Census Tract 6.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000602> block group:1",1345,31,1345,133,52355,133,472,Suffolk County,196,72,629
"Block Group 2, Census Tract 6.02, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:000602> block group:2",1113,0,1113,260,43898,24,539,Suffolk County,170,64,468
"Block Group 2, Census Tract 821, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:082100> block group:2",2594,1654,2594,674,25625,92,800,Suffolk County,890,332,215
"Block Group 3, Census Tract 821, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:082100> block group:3",2355,1664,2355,520,16682,132,818,Suffolk County,1076,401,369
"Block Group 1, Census Tract 602, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060200> block group:1",896,1,896,6,126389,192,200,Suffolk County,132,89,530
"Block Group 2, Census Tract 602, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:060200> block group:2",1399,9,1399,12,129318,325,245,Suffolk County,325,178,700
"Block Group 3, Census Tract 904, Suffolk County, Massachusetts: Summary level: 150, state:25> county:025> tract:090400> block group:3",1032,737,1032,368,31250,31,233,Suffolk County,301,47,97
